death_rate,cancer_rate,income,poplulation,poverty,white,black,asian,married,birth
188.80 ,510.90 ,43.00 ,56.93 ,17.90 ,94.00 ,3.60 ,0.50 ,49.50 ,5.10 
184.60 ,456.30 ,43.00 ,31.98 ,15.20 ,97.70 ,0.90 ,0.40 ,55.30 ,3.20 
209.50 ,463.40 ,35.00 ,27.04 ,20.60 ,97.90 ,0.70 ,0.06 ,50.70 ,3.70 
210.00 ,493.80 ,35.00 ,61.16 ,20.50 ,91.10 ,5.90 ,0.70 ,48.40 ,4.80 
198.40 ,456.60 ,40.00 ,27.45 ,16.10 ,94.80 ,3.15 ,0.30 ,43.00 ,7.40 
240.80 ,507.00 ,29.00 ,25.29 ,28.10 ,96.10 ,1.40 ,0.40 ,52.10 ,2.80 
155.90 ,444.50 ,43.00 ,104.24 ,22.50 ,90.60 ,3.60 ,3.15 ,40.40 ,4.00 
190.70 ,434.60 ,36.00 ,13.51 ,19.30 ,97.70 ,0.70 ,0.00 ,53.20 ,6.10 
209.70 ,425.40 ,44.00 ,17.52 ,13.00 ,97.40 ,0.77 ,0.40 ,45.10 ,4.10 
199.80 ,455.50 ,36.00 ,25.59 ,19.60 ,99.30 ,0.00 ,0.21 ,55.70 ,3.30 
184.40 ,500.90 ,40.00 ,43.07 ,18.40 ,93.10 ,4.20 ,0.90 ,42.90 ,3.26 
139.80 ,381.80 ,38.00 ,7.23 ,16.70 ,96.00 ,2.73 ,0.00 ,54.90 ,7.60 
213.30 ,458.90 ,44.00 ,7.67 ,16.50 ,97.10 ,0.30 ,0.00 ,56.80 ,3.00 
176.80 ,384.80 ,34.00 ,8.61 ,17.60 ,96.80 ,1.50 ,0.00 ,53.30 ,4.30 
169.80 ,435.30 ,41.00 ,33.94 ,17.60 ,94.20 ,3.97 ,0.20 ,56.80 ,4.00 
171.50 ,497.20 ,59.00 ,56.85 ,10.00 ,96.60 ,1.50 ,0.30 ,58.70 ,6.03 
198.20 ,469.60 ,40.00 ,77.51 ,17.70 ,88.30 ,8.30 ,1.20 ,49.70 ,3.80 
168.60 ,405.20 ,37.00 ,29.13 ,20.80 ,96.90 ,1.90 ,0.20 ,52.00 ,4.20 
214.70 ,502.00 ,46.00 ,9.98 ,17.70 ,98.20 ,0.50 ,0.00 ,49.70 ,6.27 
204.00 ,449.20 ,33.00 ,14.44 ,23.10 ,97.90 ,0.00 ,0.10 ,52.20 ,2.40 
170.40 ,377.10 ,32.00 ,13.24 ,25.80 ,93.00 ,5.10 ,0.10 ,50.40 ,3.81 
172.20 ,400.90 ,40.00 ,16.91 ,16.80 ,97.30 ,0.90 ,1.00 ,52.10 ,6.80 
168.10 ,528.40 ,36.00 ,6.97 ,17.10 ,98.20 ,0.23 ,0.60 ,56.90 ,3.90 
199.10 ,468.30 ,41.00 ,8.98 ,15.80 ,98.70 ,0.20 ,0.00 ,52.40 ,2.00 
189.50 ,453.70 ,38.00 ,24.76 ,19.70 ,97.40 ,1.10 ,0.24 ,53.60 ,5.30 
183.80 ,433.20 ,37.00 ,40.97 ,20.00 ,97.90 ,0.40 ,0.10 ,47.50 ,4.10 
259.50 ,511.90 ,29.00 ,8.76 ,26.10 ,98.00 ,0.10 ,0.40 ,48.70 ,4.20 
202.60 ,514.60 ,40.00 ,15.82 ,18.50 ,98.40 ,0.10 ,0.50 ,51.70 ,6.20 
185.80 ,455.30 ,38.00 ,5.88 ,20.30 ,97.40 ,0.84 ,0.00 ,51.80 ,5.97 
185.50 ,488.80 ,41.00 ,86.45 ,17.20 ,96.20 ,1.10 ,0.61 ,47.90 ,6.20 
235.40 ,447.80 ,34.00 ,22.15 ,22.80 ,97.70 ,0.78 ,0.00 ,54.00 ,6.02 
206.00 ,467.90 ,42.00 ,20.15 ,17.80 ,93.20 ,3.05 ,0.40 ,54.10 ,3.90 
217.50 ,451.50 ,41.00 ,15.84 ,14.90 ,85.00 ,0.50 ,0.50 ,42.80 ,6.50 
168.40 ,412.10 ,46.00 ,45.56 ,13.70 ,95.70 ,1.27 ,0.50 ,52.60 ,5.90 
171.70 ,369.90 ,44.00 ,14.98 ,13.60 ,86.40 ,0.70 ,0.40 ,52.80 ,5.55 
158.60 ,479.10 ,54.00 ,258.72 ,12.00 ,86.50 ,2.40 ,3.00 ,49.80 ,5.90 
166.40 ,385.70 ,50.00 ,13.19 ,10.50 ,97.50 ,0.50 ,0.10 ,54.10 ,7.20 
190.10 ,399.20 ,41.00 ,15.16 ,16.50 ,91.54 ,0.50 ,0.41 ,51.10 ,5.00 
157.90 ,474.10 ,68.00 ,49.76 ,5.90 ,94.70 ,0.78 ,2.40 ,63.00 ,4.30 
160.10 ,482.40 ,52.00 ,63.53 ,10.70 ,95.10 ,1.40 ,1.20 ,55.20 ,5.50 
157.60 ,455.20 ,45.00 ,34.45 ,16.00 ,97.10 ,0.40 ,0.40 ,57.40 ,9.90 
176.60 ,476.10 ,59.00 ,56.74 ,8.80 ,95.70 ,1.51 ,0.50 ,54.30 ,4.70 
176.40 ,466.40 ,43.00 ,16.39 ,14.70 ,96.20 ,1.80 ,0.37 ,51.30 ,5.30 
153.80 ,430.70 ,61.00 ,523.64 ,13.40 ,84.42 ,5.20 ,5.40 ,45.30 ,4.50 
178.90 ,437.30 ,54.00 ,88.50 ,9.90 ,93.80 ,2.10 ,0.60 ,53.50 ,4.50 
158.70 ,449.30 ,49.00 ,27.55 ,11.00 ,96.60 ,0.50 ,0.48 ,56.50 ,4.48 
192.80 ,354.70 ,46.00 ,43.60 ,13.90 ,92.90 ,1.10 ,1.10 ,44.20 ,6.20 
155.60 ,396.10 ,52.00 ,44.50 ,13.90 ,94.40 ,0.60 ,2.10 ,51.40 ,5.12 
163.40 ,440.90 ,48.00 ,102.11 ,14.40 ,92.80 ,0.70 ,3.45 ,46.90 ,4.30 
171.90 ,308.20 ,44.00 ,4.46 ,12.80 ,98.50 ,0.20 ,0.10 ,57.90 ,3.50 
159.40 ,477.00 ,52.00 ,101.97 ,9.90 ,93.60 ,1.20 ,1.30 ,53.50 ,4.50 
166.40 ,490.60 ,41.00 ,9.06 ,17.00 ,82.30 ,0.50 ,0.20 ,51.40 ,7.25 
166.90 ,428.20 ,46.00 ,52.25 ,15.00 ,96.70 ,1.30 ,0.74 ,51.70 ,5.20 
158.40 ,420.00 ,53.00 ,37.19 ,8.70 ,97.20 ,0.30 ,0.60 ,55.27 ,5.50 
152.30 ,447.20 ,61.00 ,17.11 ,8.20 ,96.50 ,0.40 ,0.50 ,60.50 ,9.70 
169.90 ,356.10 ,40.00 ,5.22 ,16.00 ,84.50 ,0.40 ,0.50 ,52.50 ,5.40 
187.40 ,400.60 ,43.00 ,3.09 ,12.10 ,97.90 ,1.20 ,0.20 ,54.00 ,8.00 
138.20 ,221.50 ,55.00 ,5.94 ,9.20 ,97.20 ,0.60 ,0.30 ,61.70 ,5.68 
120.20 ,432.50 ,49.00 ,5.16 ,10.70 ,97.10 ,0.06 ,0.00 ,59.50 ,6.40 
215.00 ,453.60 ,41.00 ,7.06 ,34.00 ,41.40 ,0.10 ,0.60 ,41.70 ,8.50 
156.30 ,350.10 ,44.00 ,4.15 ,12.30 ,98.30 ,0.10 ,0.00 ,56.90 ,5.00 
159.20 ,431.40 ,69.00 ,20.25 ,7.40 ,97.30 ,0.70 ,0.10 ,63.00 ,5.70 
142.10 ,392.00 ,53.00 ,9.37 ,13.60 ,95.30 ,3.34 ,0.00 ,58.70 ,6.00 
162.70 ,495.50 ,40.00 ,3.63 ,12.70 ,95.50 ,0.10 ,1.38 ,54.30 ,3.50 
164.70 ,389.20 ,51.00 ,13.81 ,10.60 ,95.60 ,0.90 ,0.20 ,55.10 ,7.00 
211.00 ,453.50 ,46.00 ,24.20 ,13.20 ,81.80 ,2.40 ,2.70 ,49.70 ,7.70 
167.70 ,453.50 ,51.00 ,2114.80 ,15.60 ,63.80 ,10.80 ,9.17 ,43.80 ,5.10 
145.20 ,453.50 ,60.00 ,47.71 ,10.30 ,89.20 ,0.60 ,1.30 ,56.10 ,5.20 
143.20 ,453.50 ,72.00 ,51.94 ,10.80 ,88.10 ,1.29 ,0.90 ,57.80 ,6.70 
262.10 ,453.50 ,47.00 ,0.83 ,14.00 ,87.40 ,0.00 ,0.00 ,40.60 ,4.30 
178.70 ,453.50 ,70.00 ,2.02 ,9.80 ,95.80 ,0.10 ,0.00 ,56.10 ,2.40 
191.50 ,453.50 ,67.00 ,17.02 ,10.70 ,87.10 ,0.50 ,0.30 ,51.40 ,5.50 
123.80 ,453.50 ,74.00 ,5.90 ,11.00 ,88.40 ,0.10 ,0.81 ,56.90 ,11.60 
127.40 ,453.50 ,45.00 ,5.04 ,15.10 ,90.60 ,2.90 ,0.10 ,59.20 ,4.50 
195.70 ,453.50 ,48.00 ,52.59 ,13.70 ,85.70 ,0.90 ,1.30 ,52.00 ,4.60 
254.30 ,453.50 ,40.00 ,4.48 ,19.00 ,66.70 ,1.31 ,4.10 ,34.40 ,9.52 
213.50 ,453.50 ,42.00 ,42.48 ,16.80 ,85.70 ,2.60 ,1.40 ,52.20 ,6.30 
121.80 ,453.50 ,52.00 ,6.63 ,18.50 ,86.40 ,4.80 ,0.16 ,51.40 ,14.60 
132.60 ,453.50 ,55.00 ,3.99 ,8.40 ,94.20 ,0.40 ,1.45 ,52.20 ,1.20 
166.00 ,453.50 ,52.00 ,446.90 ,15.40 ,80.50 ,2.40 ,5.30 ,45.20 ,5.60 
188.40 ,453.50 ,57.00 ,9.81 ,13.70 ,86.60 ,4.20 ,0.70 ,53.20 ,5.47 
193.50 ,453.50 ,45.00 ,54.52 ,19.30 ,82.80 ,0.97 ,3.00 ,42.90 ,4.30 
182.60 ,508.60 ,59.00 ,60.64 ,10.00 ,96.40 ,0.50 ,1.10 ,53.40 ,4.80 
168.80 ,481.80 ,57.00 ,47.29 ,10.70 ,97.40 ,0.40 ,0.60 ,54.70 ,7.40 
162.80 ,489.40 ,56.00 ,75.91 ,11.80 ,95.70 ,0.70 ,1.20 ,48.90 ,4.70 
181.60 ,459.20 ,42.00 ,31.21 ,14.90 ,95.50 ,1.70 ,0.43 ,48.20 ,6.00 
155.00 ,435.50 ,56.00 ,89.32 ,11.60 ,93.20 ,0.90 ,3.21 ,49.60 ,6.10 
163.20 ,482.20 ,71.00 ,406.68 ,8.70 ,90.80 ,2.40 ,3.60 ,52.00 ,5.10 
173.10 ,507.60 ,62.00 ,147.99 ,9.50 ,94.98 ,1.20 ,1.60 ,53.10 ,3.90 
172.20 ,518.80 ,79.00 ,301.78 ,6.10 ,95.20 ,0.75 ,1.90 ,57.10 ,4.40 
177.60 ,502.60 ,58.00 ,126.83 ,11.80 ,93.40 ,0.96 ,2.90 ,49.90 ,3.68 
171.90 ,475.70 ,57.00 ,42.97 ,10.40 ,96.40 ,0.50 ,0.88 ,49.90 ,3.66 
179.50 ,505.50 ,54.00 ,274.22 ,15.10 ,67.10 ,15.60 ,8.30 ,44.80 ,4.70 
147.30 ,468.10 ,84.00 ,938.51 ,7.60 ,70.40 ,5.80 ,15.60 ,56.42 ,4.10 
171.60 ,531.80 ,80.00 ,450.23 ,7.20 ,72.80 ,16.10 ,4.70 ,53.70 ,4.90 
182.80 ,530.90 ,61.00 ,510.92 ,13.00 ,63.30 ,19.40 ,5.60 ,46.00 ,5.43 
193.10 ,559.10 ,55.00 ,94.73 ,13.00 ,90.80 ,4.70 ,1.20 ,51.10 ,5.40 
189.60 ,511.30 ,45.00 ,155.85 ,19.50 ,63.10 ,20.50 ,1.30 ,43.70 ,5.80 
161.80 ,450.60 ,54.00 ,797.43 ,16.70 ,41.92 ,39.90 ,4.90 ,39.00 ,5.10 
193.50 ,544.20 ,78.00 ,291.48 ,8.20 ,82.00 ,10.10 ,3.00 ,55.40 ,4.90 
152.60 ,399.50 ,57.00 ,674.84 ,17.70 ,55.63 ,12.70 ,14.60 ,38.50 ,5.30 
145.10 ,496.30 ,103.00 ,125.49 ,4.70 ,91.10 ,2.60 ,3.63 ,62.10 ,4.20 
160.30 ,504.70 ,73.00 ,371.40 ,11.80 ,62.93 ,20.10 ,10.10 ,49.81 ,4.73 
156.70 ,466.70 ,77.00 ,840.90 ,8.30 ,61.00 ,9.80 ,23.20 ,55.70 ,5.10 
168.60 ,529.60 ,87.00 ,628.72 ,8.20 ,82.60 ,7.30 ,5.30 ,55.30 ,4.60 
150.30 ,488.50 ,100.00 ,499.51 ,5.00 ,81.60 ,3.21 ,9.70 ,59.90 ,3.64 
174.20 ,524.90 ,62.00 ,588.72 ,11.90 ,91.80 ,3.10 ,1.90 ,53.40 ,6.10 
159.10 ,448.40 ,58.00 ,510.92 ,18.20 ,64.30 ,12.60 ,5.30 ,48.70 ,4.50 
194.80 ,516.60 ,56.00 ,64.18 ,13.10 ,80.30 ,14.00 ,1.00 ,49.60 ,6.00 
153.30 ,471.00 ,100.00 ,333.65 ,5.00 ,68.20 ,9.10 ,16.10 ,60.70 ,4.80 
176.40 ,493.10 ,82.00 ,143.67 ,6.20 ,93.30 ,2.10 ,1.85 ,59.80 ,4.63 
155.60 ,463.00 ,68.00 ,555.79 ,11.10 ,57.90 ,21.30 ,4.80 ,49.30 ,5.70 
175.10 ,485.90 ,71.00 ,106.87 ,8.30 ,89.20 ,4.10 ,2.70 ,54.90 ,4.80 
147.10 ,404.10 ,47.00 ,676.69 ,18.70 ,71.80 ,3.00 ,2.30 ,41.40 ,5.30 
164.70 ,375.50 ,33.00 ,3.46 ,22.20 ,96.40 ,0.67 ,0.33 ,53.10 ,0.70 
164.50 ,375.80 ,38.00 ,65.76 ,23.40 ,79.60 ,1.70 ,0.80 ,48.10 ,8.50 
146.50 ,375.50 ,35.00 ,27.33 ,28.80 ,43.40 ,1.00 ,0.60 ,39.60 ,6.70 
139.90 ,377.40 ,37.00 ,12.41 ,20.50 ,85.50 ,0.40 ,1.10 ,44.20 ,5.70 
143.80 ,336.50 ,42.00 ,50.40 ,19.20 ,69.70 ,6.35 ,1.50 ,48.80 ,7.20 
243.60 ,467.10 ,33.00 ,1.83 ,20.60 ,80.00 ,0.00 ,0.10 ,41.90 ,0.00 
150.80 ,381.00 ,38.00 ,214.30 ,27.90 ,89.10 ,1.70 ,1.10 ,48.20 ,5.88 
170.80 ,391.30 ,57.00 ,57.58 ,14.10 ,89.60 ,1.30 ,0.50 ,49.80 ,9.56 
159.40 ,366.50 ,38.00 ,28.61 ,19.10 ,89.10 ,0.63 ,0.20 ,43.30 ,6.00 
142.80 ,361.20 ,29.00 ,4.37 ,25.80 ,84.20 ,1.60 ,0.00 ,41.40 ,3.56 
166.30 ,357.00 ,34.00 ,4.42 ,24.50 ,91.20 ,0.30 ,0.00 ,44.60 ,5.49 
166.20 ,357.10 ,58.00 ,71.18 ,16.60 ,87.30 ,3.50 ,0.20 ,55.60 ,7.50 
123.40 ,363.90 ,39.00 ,19.42 ,20.10 ,85.70 ,0.60 ,0.20 ,47.60 ,8.50 
114.50 ,406.20 ,108.00 ,17.79 ,4.20 ,86.70 ,0.50 ,6.70 ,59.60 ,5.54 
181.80 ,420.60 ,27.00 ,24.52 ,30.60 ,89.50 ,1.17 ,0.40 ,44.70 ,8.60 
137.70 ,332.90 ,29.00 ,76.71 ,35.80 ,16.90 ,0.81 ,1.00 ,39.10 ,7.32 
134.30 ,359.00 ,27.00 ,4.60 ,24.20 ,63.60 ,0.10 ,0.00 ,43.30 ,1.10 
161.10 ,393.00 ,41.00 ,64.36 ,20.20 ,76.00 ,3.70 ,1.30 ,48.60 ,8.22 
190.60 ,412.70 ,29.00 ,8.46 ,23.90 ,90.00 ,2.20 ,0.60 ,42.20 ,4.10 
155.50 ,351.80 ,34.00 ,39.47 ,24.10 ,62.50 ,0.50 ,0.40 ,41.30 ,3.90 
163.50 ,360.70 ,36.00 ,19.12 ,24.00 ,73.60 ,2.50 ,0.60 ,45.50 ,4.40 
135.70 ,395.40 ,56.00 ,139.39 ,12.60 ,70.00 ,2.70 ,1.40 ,51.90 ,5.50 
136.70 ,356.10 ,47.00 ,118.74 ,21.00 ,53.10 ,0.60 ,0.50 ,48.80 ,6.10 
158.20 ,355.60 ,32.00 ,27.97 ,25.50 ,56.40 ,1.82 ,0.90 ,31.92 ,5.74 
126.10 ,374.30 ,52.00 ,148.69 ,14.20 ,83.20 ,0.78 ,1.20 ,43.70 ,4.00 
190.30 ,424.20 ,29.00 ,11.28 ,23.80 ,91.40 ,0.46 ,0.20 ,44.70 ,8.20 
167.80 ,404.40 ,32.00 ,17.26 ,31.00 ,81.00 ,0.70 ,0.70 ,36.00 ,2.69 
135.20 ,339.00 ,36.00 ,32.91 ,19.20 ,70.60 ,0.50 ,0.80 ,41.50 ,4.70 
164.30 ,558.50 ,37.00 ,15.49 ,27.60 ,89.50 ,1.30 ,0.00 ,50.50 ,3.00 
151.60 ,303.00 ,36.00 ,4.20 ,19.40 ,79.10 ,2.83 ,0.20 ,47.00 ,3.50 
163.10 ,402.30 ,40.00 ,75.74 ,24.50 ,74.70 ,1.10 ,0.60 ,51.10 ,6.41 
176.10 ,505.90 ,60.00 ,309.38 ,13.50 ,77.00 ,12.60 ,5.67 ,40.10 ,3.77 
177.20 ,490.70 ,42.00 ,47.46 ,18.30 ,95.70 ,1.40 ,1.20 ,49.30 ,4.80 
162.00 ,455.30 ,33.00 ,1455.44 ,31.50 ,21.00 ,33.30 ,3.70 ,27.30 ,5.70 
163.60 ,494.40 ,46.00 ,196.57 ,17.20 ,86.90 ,5.43 ,4.10 ,43.30 ,4.30 
167.90 ,517.80 ,43.00 ,77.92 ,16.20 ,92.20 ,1.58 ,0.80 ,46.90 ,4.80 
158.60 ,470.80 ,52.00 ,78.29 ,12.70 ,92.30 ,4.36 ,0.40 ,45.80 ,5.47 
173.20 ,550.10 ,41.00 ,130.78 ,19.30 ,93.00 ,2.50 ,0.68 ,45.60 ,6.07 
183.80 ,508.20 ,48.00 ,87.07 ,18.20 ,88.50 ,5.90 ,1.50 ,46.00 ,5.10 
180.30 ,512.40 ,46.00 ,48.84 ,16.70 ,96.20 ,0.85 ,0.50 ,49.40 ,5.10 
194.20 ,437.10 ,34.00 ,51.88 ,20.50 ,73.30 ,22.30 ,0.52 ,47.90 ,6.00 
111.30 ,327.00 ,38.00 ,2.21 ,14.60 ,99.50 ,0.00 ,0.00 ,53.60 ,10.80 
200.60 ,460.20 ,64.00 ,36.31 ,10.20 ,71.80 ,22.80 ,0.90 ,59.90 ,3.70 
149.00 ,423.00 ,75.00 ,73.15 ,7.90 ,80.30 ,13.50 ,3.00 ,57.30 ,4.80 
180.30 ,383.40 ,46.00 ,7.16 ,14.80 ,68.80 ,26.50 ,0.18 ,49.60 ,9.30 
195.70 ,491.50 ,76.00 ,25.52 ,7.50 ,76.60 ,18.00 ,1.30 ,61.95 ,6.20 
187.40 ,514.80 ,64.00 ,16.27 ,8.80 ,76.50 ,19.50 ,0.87 ,60.50 ,6.60 
190.60 ,446.80 ,45.00 ,10.97 ,13.70 ,69.80 ,28.00 ,0.98 ,44.30 ,4.30 
224.20 ,330.50 ,31.00 ,24.74 ,26.60 ,93.90 ,3.80 ,0.30 ,51.50 ,6.20 
136.50 ,364.90 ,122.00 ,375.63 ,3.90 ,67.80 ,7.40 ,16.20 ,65.50 ,6.20 
191.00 ,456.90 ,60.00 ,34.60 ,11.50 ,78.40 ,16.70 ,0.50 ,58.30 ,5.00 
189.80 ,404.10 ,37.00 ,12.30 ,22.40 ,61.80 ,34.00 ,0.30 ,47.10 ,7.50 
169.80 ,463.30 ,52.00 ,13.13 ,12.30 ,85.80 ,8.25 ,0.00 ,53.70 ,6.30 
157.10 ,444.90 ,58.00 ,8.86 ,10.60 ,86.30 ,10.30 ,0.50 ,60.60 ,1.90 
213.70 ,445.10 ,38.00 ,31.08 ,21.10 ,60.60 ,35.10 ,0.40 ,43.80 ,4.66 
206.90 ,525.60 ,48.00 ,10.61 ,14.40 ,79.40 ,19.30 ,0.00 ,53.80 ,2.70 
153.30 ,396.20 ,43.00 ,97.65 ,24.80 ,86.70 ,4.30 ,6.10 ,43.40 ,3.10 
194.30 ,526.70 ,48.00 ,14.79 ,13.40 ,83.90 ,13.40 ,0.20 ,44.30 ,5.70 
201.40 ,454.30 ,72.00 ,20.39 ,6.20 ,81.60 ,12.30 ,0.80 ,63.56 ,2.60 
227.10 ,527.20 ,36.00 ,12.16 ,21.50 ,61.60 ,36.40 ,0.80 ,41.06 ,6.50 
190.50 ,450.40 ,51.00 ,12.23 ,14.30 ,70.50 ,28.70 ,0.10 ,54.30 ,7.30 
201.50 ,508.00 ,37.00 ,15.67 ,24.30 ,56.80 ,39.60 ,0.60 ,44.20 ,7.30 
177.30 ,503.50 ,59.00 ,35.39 ,10.70 ,82.60 ,12.70 ,1.00 ,56.70 ,2.10 
199.20 ,430.10 ,44.00 ,23.73 ,16.90 ,95.60 ,1.64 ,0.50 ,53.00 ,5.96 
178.30 ,339.10 ,34.00 ,18.05 ,21.90 ,92.20 ,6.40 ,0.10 ,51.40 ,2.90 
176.80 ,399.00 ,44.00 ,62.19 ,14.60 ,74.80 ,21.40 ,0.30 ,51.60 ,4.20 
175.10 ,459.60 ,75.00 ,28.03 ,7.10 ,85.00 ,12.30 ,0.50 ,65.70 ,5.62 
188.80 ,410.40 ,37.00 ,22.95 ,25.50 ,64.10 ,32.90 ,1.40 ,44.60 ,7.61 
172.10 ,437.00 ,61.00 ,37.86 ,10.50 ,59.80 ,32.07 ,2.10 ,61.90 ,4.90 
150.10 ,373.70 ,91.00 ,451.72 ,7.20 ,61.45 ,20.47 ,7.77 ,60.20 ,6.86 
185.80 ,390.60 ,46.00 ,34.33 ,14.70 ,92.10 ,5.83 ,0.10 ,50.40 ,6.17 
149.60 ,401.10 ,62.00 ,7.38 ,9.30 ,92.40 ,4.20 ,0.81 ,58.80 ,5.20 
176.20 ,452.40 ,42.00 ,8.91 ,19.70 ,66.50 ,28.80 ,2.18 ,50.20 ,8.80 
155.90 ,400.50 ,61.00 ,94.41 ,8.20 ,89.00 ,5.80 ,2.90 ,53.40 ,5.40 
159.20 ,338.00 ,48.00 ,22.35 ,13.00 ,93.80 ,2.90 ,0.70 ,53.70 ,6.50 
156.10 ,400.20 ,55.00 ,78.59 ,11.70 ,94.30 ,1.80 ,0.70 ,58.20 ,4.80 
